id,device,device,device,device,device,device,device,device,device,device,device,device,device,device,device,device,device,device,device,device,device,device,device,device,device,FoM,Gain,PM,GBW,Power
0,0,0,4,3,0,0,0,5,6,10,4,5,0,6,19,3,6,6,0,5,0,10,19,5,0,67560.7,7.925338723,-36.82874873,0.6394017943168814,94.64108487876554
1,0,0,3,2,0,0,0,5,1,4,3,5,0,6,17,2,1,6,0,5,0,4,17,5,0,145144,29.60007047947434,48.33519657745814,1.164940881247489,80.26104291
2,0,0,1,4,0,0,0,5,0,0,1,5,0,6,11,4,0,6,0,5,0,0,11,5,0,496174,69.44928507696727,54.99514180465369,3.604388444214155,72.64363800227652
3,0,0,0,2,0,0,0,5,7,10,0,5,0,6,13,2,7,6,0,5,0,10,13,5,0,255661,67.00332454177502,56.79104812195679,2.940068091228805,114.99869323943837
4,0,0,2,4,0,0,0,5,2,1,2,5,0,6,16,4,2,6,0,5,0,1,16,5,0,248733,-6.282966318,56.71724201755251,4.147445344281964,166.74286661930518
5,0,0,4,1,0,0,0,5,8,0,4,5,0,6,2,1,8,6,0,5,0,0,2,5,0,191826,82.57589338,54.95373317034056,2.798915374255988,145.9090725061247
6,0,0,2,0,0,0,0,5,1,6,2,5,0,6,0,0,1,6,0,5,0,6,0,5,0,261743,87.10198397639715,53.87901919279155,2.549691334132255,97.41201614302025
7,0,0,0,1,0,0,0,5,3,4,0,5,0,6,4,1,3,6,0,5,0,4,4,5,0,356739,82.67198661244316,51.81180502086518,2.333491113092868,65.41171874
8,0,0,1,1,0,0,0,5,5,6,1,5,0,6,8,1,5,6,0,5,0,6,8,5,0,165328,84.65968277,33.09731936180113,2.713659841362639,164.1379464677876
9,0,0,1,2,0,0,0,5,2,0,1,5,0,6,15,2,2,6,0,5,0,0,15,5,0,232893,38.06318842583944,27.18474871,2.7963353961126076,120.06953391096371
10,0,0,1,3,0,0,0,5,2,6,1,5,0,6,4,3,2,6,0,5,0,6,4,5,0,315337,83.76303649202467,36.30816765641995,2.378334850791024,75.42200410326171
11,0,0,1,2,0,0,0,5,3,4,1,5,0,6,4,2,3,6,0,5,0,4,4,5,0,465766,89.87461569,9.665387405441585,2.504986273898673,53.782076705871035
12,0,0,2,2,0,0,0,5,5,6,2,5,0,6,8,2,5,6,0,5,0,6,8,5,0,41074.6,77.05897309966812,27.75659491630224,1.923940354,468.4014826491944
13,0,0,1,1,0,0,0,5,2,4,1,5,0,6,1,1,2,6,0,5,0,4,1,5,0,439932,50.7231141,55.11457089644519,3.533358969731822,80.31602542510713
14,0,0,3,2,0,0,0,5,8,1,3,5,0,6,19,2,8,6,0,5,0,1,19,5,0,123190,38.58409380505143,-23.06099426,2.303230866823275,186.96573316204848
15,0,0,3,4,0,0,0,5,2,8,3,5,0,6,15,4,2,6,0,5,0,8,15,5,0,284747,38.82915455665451,-30.26039897,4.307177801848562,151.26332505166206
16,0,0,3,4,0,0,0,5,7,10,3,5,0,6,7,4,7,6,0,5,0,10,7,5,0,285626,85.71706722,55.24213639729839,2.736672048986511,95.81312797107094
17,0,0,0,0,0,0,0,5,8,0,0,5,0,6,11,0,8,6,0,5,0,0,11,5,0,173781,68.32969922665758,36.60639559448021,2.445839650284495,140.74263873982164
18,0,0,1,3,0,0,0,5,5,3,1,5,0,6,3,3,5,6,0,5,0,3,3,5,0,99376.8,33.08512983120563,46.42087871,2.540896727894961,255.6830898051618
19,0,0,4,4,0,0,0,5,4,1,4,5,0,6,21,4,4,6,0,5,0,1,21,5,0,451465,0.4730372865863181,55.00817678510208,2.542780387712575,56.32286861024831
20,0,0,2,4,0,0,0,5,4,8,2,5,0,6,4,4,4,6,0,5,0,8,4,5,0,371232,90.61860657982918,55.12028664538825,2.989177744439381,80.52047626
21,0,0,4,1,0,0,0,5,9,6,4,5,0,6,17,1,9,6,0,5,0,6,17,5,0,68200.1,39.55769196,22.45307856252012,3.848786548081961,564.3373760569209
22,0,0,1,4,0,0,0,5,5,2,1,5,0,6,16,4,5,6,0,5,0,2,16,5,0,151413,-4.596448114,179.8079106655382,2.977430663906571,196.6430005287902
23,0,0,3,2,0,0,0,5,0,6,3,5,0,6,0,2,0,6,0,5,0,6,0,5,0,248548,84.40553190759991,42.67695591344827,2.506409802859539,100.84208293205091
24,0,0,4,0,0,0,0,5,4,4,4,5,0,6,23,0,4,6,0,5,0,4,23,5,0,307105,0.6062737061166236,56.66587790875159,2.718019204117014,88.50455720737251
25,0,0,0,1,0,0,0,5,6,0,0,5,0,6,21,1,6,6,0,5,0,0,21,5,0,158770,-4.113302433,179.5773292324556,3.036200135129373,191.2326091282593
26,0,0,2,3,0,0,0,5,6,1,2,5,0,6,19,3,6,6,0,5,0,1,19,5,0,43013,30.84549898960107,-40.32565917,0.7977826002650685,185.47476350523527
27,0,0,4,4,0,0,0,5,1,9,4,5,0,6,22,4,1,6,0,5,0,9,22,5,0,446419,46.14228136548447,57.09730487661051,3.480037976772375,77.95452202
28,0,0,1,0,0,0,0,5,8,9,1,5,0,6,17,0,8,6,0,5,0,9,17,5,0,136988,16.47597604,7.307913984413697,3.586405641086849,261.80436542520874
29,0,0,0,1,0,0,0,5,0,4,0,5,0,6,7,1,0,6,0,5,0,4,7,5,0,365543,88.01070430981575,55.10358626454129,3.072215077295791,84.04524439794473
30,0,0,4,3,0,0,0,5,1,2,4,5,0,6,6,3,1,6,0,5,0,2,6,5,0,242364,86.22561575583047,41.98883096912359,1.473268474,60.78743023852305
31,0,0,3,0,0,0,0,5,5,1,3,5,0,6,4,0,5,6,0,5,0,1,4,5,0,161663,79.75622383571798,42.50108463791656,2.443644955448776,151.1567245101709
32,0,0,0,3,0,0,0,5,2,5,0,5,0,6,21,3,2,6,0,5,0,5,21,5,0,89633.8,-11.3799757,168.1247608654872,3.016097435410509,336.4910820929726
33,0,0,4,1,0,0,0,5,5,3,4,5,0,6,3,1,5,6,0,5,0,3,3,5,0,141252,52.60042705697955,43.55057826383018,2.50279723,177.18667559969344
34,0,0,0,3,0,0,0,5,7,1,0,5,0,6,7,3,7,6,0,5,0,1,7,5,0,250393,97.65122057,-18.65658757,2.735145683337611,109.23411131052431
35,0,0,4,2,0,0,0,5,5,9,4,5,0,6,5,2,5,6,0,5,0,9,5,5,0,139042,80.04252410225004,50.43161010927339,2.8871652855056213,207.64699051406203
36,0,0,1,1,0,0,0,5,7,8,1,5,0,6,10,1,7,6,0,5,0,8,10,5,0,96041.6,86.15214163,54.47801696112769,3.397260959473052,353.72806778240385
